"Address Page","","[C076] VTXO list shows amount in selected unit","Manual","High","","Amount updates with sats/BTC toggle"
"Address Page","","[C077] VTXO list shows created & expiration timestamps","Manual","High","","Both timestamps visible and correct"
"Address Page","","[C078] VTXO list links to commitment tx","Manual","High","","Click commitment link → correct page"
"Address Page","","[C079] VTXO list links to spending tx (if spent)","Manual","High","VTXO is spent","Spending tx link works"
"Address Page","","[C080] Pagination works (10 items per page)","Manual","High","Address has >10 VTXOs","Exactly 10 items shown, pagination controls work"
"Address Page","","[C081] Previous/Next and page numbers clickable","Manual","High","","All pagination buttons functional"
"Money Display","","[C090] Toggle button switches between sats and BTC","Manual","High","","Click toggle → unit changes instantly"
"Money Display,"","[C091] Preference persists after page refresh","Manual","High","Set to BTC","1. Refresh page → still BTC"
Money Display,"","[C092] Sats display: comma every 3 digits (e.g. 4,438 sats)","Manual","High","Switch to sats","Formatting correct with commas"
Money Display,"","[C093] BTC display: comma in decimal (e.g. 0.00004,438 BTC)","Manual","High","Switch to BTC","Decimal commas correct"
Money Display,"","[C094] All amounts update when toggling unit","Manual","High","Toggle multiple times → every amount updates correctly"
Money Display,"","[C095] Amounts display consistently across all pages","Manual","High","Same address on different pages","Same amount shown everywhere"
Theme,"","[C100] Theme toggle button present in header","Manual","High","","Theme sun/moon icon visible"
Theme,"","[C101] Light theme applies correctly","Manual","High","Click to light","Background white, text dark"
Theme,"","[C102] Dark theme applies correctly","Manual","High","Click to dark","Background dark, text light"
Theme,"","[C103] System theme follows OS preference","Manual","High","Change OS to dark → reload","Site becomes dark automatically"
Theme,"","[C104] Theme preference persists after refresh","Manual","High","Set dark → refresh → still dark"
"Visual Elements","","[C110] Purple borders on regular items","Manual","High","","Regular inputs/outputs have purple border"
"Visual Elements","","[C111] Orange borders on batches and forfeits","Manual","High","","Batches & forfeits have orange border"
"Visual Elements","","[C112] Blue borders on connectors","Manual","High","","Connector outputs have blue border"
"Visual Elements","","[C113] Status badges show correct colors","Manual","High","","Active=green, Spent=gray, Swept=yellow"
"Visual Elements","","[C114] Glow effects visible on cards","Manual","High","","Cards have subtle glow/shadow"
"Visual Elements","","[C115] Particle rain animation on home page","Manual","High","","Particles falling in background"
"Visual Elements","","[C116] Loading spinners appear during data fetch","Manual","High","Navigate to slow page","Spinner visible until data loads"
"Copy Functionality","","[C120] Copy buttons show clipboard → checkmark → revert after 2s","Manual","High","Click any copy button","Icon animation correct"
"Copy Functionality","","[C121] Copied text matches displayed text (txid, address, outpoint, raw hex)","Manual","High","Test all four types","Paste matches exactly"
"Links & Navigation","","[C130] Internal links navigate within app (no reload)","Manual","High","Click any /tx or /address link","No full page reload"
"Links & Navigation","","[C131] External links (mempool.space) open in new tab","Manual","High","Click mempool link","_blank target present"
"Links & Navigation","","[C132] Back/Forward browser buttons work correctly","Manual","High","Navigate → back → forward","History works as expected"
"Links & Navigation","","[C133] Direct URL entry works for all routes","Manual","High","Paste /tx/<id> directly","Page loads correctly"
"Links & Navigation","","[C134] Batch/Connector/Forfeit arrows navigate correctly","Manual","High","Click each arrow type","Correct target transaction page"
"Error Handling","","[C140] Invalid transaction/address shows clear error","Manual","High","Search invalid ID","Not found message, no crash"
"Error Handling","","[C141] Network errors show user-friendly message","Manual","High","(Optional: throttle network)","Graceful error shown"
"Responsive Design","","[C150] Layout works on mobile (<768px)","Manual","High","Open in mobile or DevTools","No overflow, menu works"
"Responsive Design","","[C151] Layout works on tablet (768–1024px)","Manual","High","Tablet viewport","Layout adapts correctly"
"Responsive Design","","[C152] Layout works on desktop (>1024px)","Manual","High","Desktop view","Full layout visible"
"Responsive Design","","[C153] Search and buttons usable on mobile","Manual","High","Mobile view","All controls tappable"
Performance,"","[C160] Pages load within 3 seconds","Manual","High","Good connection","All pages <3s"
Performance,"","[C161] Navigation between pages is instant","Manual","High","Click internal links","<300ms navigation"
Performance,"","[C162] Search results appear quickly (<2s)","Manual","High","Perform search","Result in <2s"
Performance,"","[C163] No lag when toggling theme/unit","Manual","High","Toggle rapidly","Smooth, no freeze"
